State,National Remoteness Areas,SA4 Name 2021,National LGA Name 2024,National Road Type
NSW,Inner Regional Australia,Riverina,Wagga Wagga,Arterial Road
NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Local Road
TAS,Inner Regional Australia,Launceston and North East,Northern Midlands,Local Road
NSW,Outer Regional Australia,New England and North West,Armidale,National or State Highway
QLD,Inner Regional Australia,Toowoomba,Lockyer Valley,National or State Highway
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Wakefield,Sub-arterial Road
QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,Local Road
TAS,Inner Regional Australia,Hobart,Brighton,Local Road
TAS,Outer Regional Australia,Launceston and North East,West Tamar,National or State Highway
SA,Outer Regional Australia,South Australia - South East,Mid Murray,Local Road
NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Blue Mountains,National or State Highway
NSW,Inner Regional Australia,Capital Region,Upper Lachlan,National or State Highway
SA,Outer Regional Australia,South Australia - South East,Wattle Range,Local Road
QLD,Outer Regional Australia,Cairns,Cairns,Collector Road
NSW,Major Cities of Australia,Illawarra,Wollongong,National or State Highway
NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Collector Road
NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Upper Hunter,National or State Highway
QLD,Outer Regional Australia,Wide Bay,South Burnett,National or State Highway
NSW,Outer Regional Australia,Central West,Mid-Western,Arterial Road
NSW,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Collector Road
NSW,Outer Regional Australia,Murray,Greater Hume,National or State Highway
QLD,Outer Regional Australia,Darling Downs - Maranoa,Southern Downs,Local Road
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Barossa,Sub-arterial Road
SA,Outer Regional Australia,South Australia - South East,Wattle Range,National or State Highway
NSW,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway
QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Mackay,National or State Highway
QLD,Outer Regional Australia,Cairns,Douglas,Local Road
SA,Inner Regional Australia,South Australia - South East,Yankalilla,Arterial Road
QLD,Major Cities of Australia,Logan - Beaudesert,Logan,Sub-arterial Road
TAS,Outer Regional Australia,Launceston and North East,Dorset,National or State Highway
NSW,Inner Regional Australia,New England and North West,Armidale,Local Road
NSW,Inner Regional Australia,Mid North Coast,Nambucca Valley,National or State Highway
NSW,Outer Regional Australia,Far West and Orana,Narromine,National or State Highway
QLD,Inner Regional Australia,Wide Bay,Fraser Coast,Local Road
SA,Very Remote Australia,South Australia - Outback,Unincorporated SA,Local Road
NSW,Major Cities of Australia,Illawarra,Shellharbour,Collector Road
NSW,Major Cities of Australia,Illawarra,Wollongong,Collector Road
NSW,Outer Regional Australia,New England and North West,Narrabri,Sub-arterial Road
QLD,Inner Regional Australia,Logan - Beaudesert,Logan,Local Road
NSW,Inner Regional Australia,Mid North Coast,Nambucca Valley,Sub-arterial Road
QLD,Remote Australia,Queensland - Outback,Cook,Sub-arterial Road
NSW,Outer Regional Australia,New England and North West,Tenterfield,National or State Highway
